model,worst_world_AUROC_drop,AUROC_drop_worst,worst_world_ECE_drift,ECE_drift_worst,worst_world_LogLoss_drift,LogLoss_drift_worst,worst_world_Brier_drift,Brier_drift_worst,RSCE
ExtraTrees,WG_real,0.3698392027527918,WF_real,0.1531947928994083,WG_real,1.2783557559398564,WG_real,0.08874603550295859,0.6546833455437603
MLP,WG_real,0.3447571476801605,WG_real,0.0918008604441442,WF_real,6.225316395533911,WF_real,0.1561953261457363,0.549799168225098
GradientBoosting,WG_real,0.3747233176201671,WF_real,0.2869621956794455,WF_real,0.6183821374332483,WF_real,0.1726088726952574,0.5269529245993912
Logistic_L2,WG_real,0.34584432224087713,WF_real,0.1730042289561397,WF_real,5.118031856046625,WF_real,0.1608204195680522,0.5064474974819337
GaussianNB,WG_real,0.06628321839709195,WG_real,0.0168047337278106,WF_real,0.18985885517072987,WF_real,0.0012405289674675135,0.4999999280695441
RandomForest,WG_real,0.3612059344417943,WF_real,0.2221221301775148,WG_real,1.480609855057482,WG_real,0.0887687573964497,0.4764250401497148
SVC_RBF,WG_real,0.3683912729344838,WF_real,0.31194500860322233,WG_real,0.48261871404812823,WF_real,0.1117460298834916,0.3797058171358641
