model,R_raw,S_raw,C_raw,R,S,C,E,RSCE_full
ExtraTrees,0.9990639839279191,0.9527481525446857,0.9676689497716895,0.9580009359583832,0.9189385375430977,0.9999998261638482,2.6011190519888073e-07,0.8588819268902428
GaussianNB,0.9777131782945736,0.9443335614436043,0.9448040974301497,0.0,0.8382410180047808,0.6025260318766821,,
GradientBoosting,1.0,0.8569274620861718,0.9101435262206654,0.9999995513045491,0.0,0.0,0.0,0.39999982052181965
Logistic_L2,0.999802142944113,0.9612006831498108,0.9380141052090037,0.991121795215115,0.9999999040981095,0.4844914200188966,,
MLP,0.9997209708186209,0.9595469993771802,0.9196013288508783,0.9874796388707336,0.9841407640699149,0.1644108013862075,,
RandomForest,1.0,0.9410499699599636,0.9525319634703197,0.9999995513045491,0.8067507548744799,0.7368642812931853,0.9999999763795184,0.8893979008807525
SVC_RBF,0.9984551929867284,0.9306555090476887,0.9272767689433752,0.9306847633755178,0.7070659095287835,0.2978376983028364,,
