world,model,roc_auc,rank
WorldD,SVC_RBF,0.7448888888888888,23
WorldD,LightGBM,0.744,24
WorldD,XGBoost,0.742874074074074,25
WorldD,RandomForest,0.7405037037037037,26
WorldD,LightGBM,0.7349333333333333,27
WorldD,LightGBM,0.726637037037037,28
WorldD,SVC_RBF,0.7260444444444445,29
WorldD,XGBoost,0.7195851851851852,30
WorldE,Logistic_L1,0.7842962962962963,1
WorldE,Logistic_L1,0.7838814814814816,2
WorldE,Logistic_L1,0.7819259259259259,3
WorldE,Logistic_L1,0.7809185185185185,4
WorldE,Logistic_L2,0.7789629629629629,5
WorldE,Logistic_L2,0.7768296296296296,6
WorldE,Logistic_L2,0.775762962962963,7
WorldE,ExtraTrees,0.7752888888888889,8
WorldE,Logistic_L2,0.7745185185185185,9
WorldE,GradientBoosting,0.7728592592592592,10
WorldE,ExtraTrees,0.7727407407407407,11
WorldE,ExtraTrees,0.7708444444444444,12
WorldE,GaussianNB,0.7707259259259259,13
WorldE,ExtraTrees,0.7701925925925927,14
WorldE,GradientBoosting,0.7684444444444445,15
WorldE,MLP,0.7669333333333335,16
WorldE,GaussianNB,0.766637037037037,17
WorldE,MLP,0.766637037037037,18
WorldE,GaussianNB,0.7662814814814815,19
WorldE,GradientBoosting,0.7646222222222222,20
WorldE,GradientBoosting,0.7641777777777778,21
WorldE,GaussianNB,0.7637333333333334,22
WorldE,LightGBM,0.7613037037037037,23
WorldE,SVC_RBF,0.7603555555555555,24
WorldE,SVC_RBF,0.7565333333333333,25
WorldE,MLP,0.7534222222222223,26
WorldE,SVC_RBF,0.7528592592592592,27
WorldE,RandomForest,0.7508148148148148,28
WorldE,XGBoost,0.7472592592592593,29
WorldE,MLP,0.7462518518518519,30
WorldE,RandomForest,0.7462518518518519,31
WorldE,RandomForest,0.7461925925925926,32
WorldE,SVC_RBF,0.7458962962962963,33
WorldE,RandomForest,0.7444148148148149,34
WorldE,XGBoost,0.740562962962963,35
WorldE,LightGBM,0.7380148148148148,36
WorldE,LightGBM,0.7359407407407407,37
WorldE,XGBoost,0.7325037037037037,38
