model,R_raw,S_raw,C_raw,R,S,C,E,RSCE_full
ExtraTrees,0.7449477351916376,0.9705574912891987,0.9751798245614035,0.7172995346276438,0.7638631554818692,0.9999998444772988,3.476055455773432e-05,0.7160822054465339
GaussianNB,0.6264808362369337,0.9959349593495936,0.9646896224587027,0.0,0.9658039896897204,0.8368533877220293,,0.45711187445132195
GradientBoosting,0.6933797909407665,0.9466898954703833,0.9241181259721084,0.40506326661325776,0.5739371077486274,0.2058745150325719,0.0,0.3753813419764057
Logistic_L2,0.7491289198606271,0.8745644599303136,0.910880539858137,0.7426159887909723,0.0,0.0,,0.29704639551638895
MLP,0.791637630662021,0.9666666666666666,0.9427550188656767,0.9999999394514805,0.7329019749511448,0.49572050758311703,,0.7190146697825591
RandomForest,0.7909407665505227,0.9262485481997675,0.9638201754385965,0.995780530424259,0.41127538316930473,0.8233315128069381,0.9999984519668781,0.7863609748785704
SVC_RBF,0.7414634146341462,1.0002322880371661,0.9496157837313925,0.6962024894915362,0.999999920425145,0.6024209760311374,,0.6989651671303854
