AUROC,Brier,LogLoss,ECE,model,world
0.9230027279370714,0.01645775984605531,0.06989903174689355,0.003299678280751268,Logistic_L2,WA_real
0.8798572939408932,0.02452218899742909,0.10514123656098989,0.011494321415690806,Logistic_L2,WB_real
0.9032853258772747,0.018642185351646003,0.07697907994780628,0.004265505194180216,Logistic_L2,WC_real
0.92314343683759,0.01675964785264374,0.07211894600110115,0.009625625222954778,Logistic_L2,WD_real
0.9242055620866675,0.016929418687871654,0.07341055299173273,0.012485368633307212,Logistic_L2,WE_real
0.9301652648731576,0.17727817941410756,5.187930887793518,0.17630390723689096,Logistic_L2,WF_real
0.5771584056961943,0.10592814850123267,0.592473128882481,0.09325310200702962,Logistic_L2,WG_real
0.9494264977554661,0.016010867692307692,0.06298734777337953,0.009694201183431951,RandomForest,WA_real
0.9280251278862346,0.01842959526627219,0.088838833545077,0.030512662721893492,RandomForest,WB_real
0.9380529065465951,0.01727462153846154,0.06749959527981783,0.008292071005917162,RandomForest,WC_real
0.9496205398682782,0.016747333491124262,0.07087284469814006,0.02166201183431953,RandomForest,WD_real
0.9488840876389499,0.015990869585798817,0.06324379272597629,0.010738934911242604,RandomForest,WE_real
0.8942107365430093,0.08137587692307692,0.3163073260363302,0.23181633136094676,RandomForest,WF_real
0.5882205633136717,0.10477962508875738,1.5435972028308615,0.09056142011834319,RandomForest,WG_real
0.957099671830532,0.016781385088757397,0.06386357947373571,0.010607337278106511,ExtraTrees,WA_real
0.9502594036666016,0.017198702958579885,0.0686882941943302,0.014786272189349112,ExtraTrees,WB_real
0.9457340238660451,0.018103249230769232,0.06897582864776265,0.009011597633136094,ExtraTrees,WC_real
0.9548698896569879,0.01690826603550296,0.06961531511776475,0.020681656804733724,ExtraTrees,WD_real
0.9563269076268763,0.016755322130177514,0.06424366852274123,0.011497751479289942,ExtraTrees,WE_real
0.9351842605747278,0.052285292307692306,0.22993337856213475,0.16380213017751483,ExtraTrees,WF_real
0.5872604690777402,0.10552742059171596,1.342219335413592,0.09181727810650886,ExtraTrees,WG_real
0.9586883207073573,0.015338495045344635,0.059967279749083585,0.006692041857260572,GradientBoosting,WA_real
0.9407207019104636,0.024603882000491375,0.09371679713353899,0.016565509618136194,GradientBoosting,WB_real
0.9374117732498763,0.017483772757036834,0.07162118546409595,0.011711503992107424,GradientBoosting,WC_real
0.9560965535397367,0.020694125018806325,0.07464203627772467,0.01969326891174591,GradientBoosting,WD_real
0.9581799530667731,0.015427287719714276,0.06060064633012953,0.007014141997831383,GradientBoosting,WE_real
0.8891213863911798,0.18794736774060208,0.6783494171823319,0.29365423753670605,GradientBoosting,WF_real
0.5839650030871901,0.10542298218923492,0.608996985933692,0.09709801420557021,GradientBoosting,WG_real
0.9406753119425545,0.016131423425646475,0.06516063342877862,0.003895395016621811,SVC_RBF,WA_real
0.88620394620381,0.021830632267528738,0.090447252620558,0.02146006774423409,SVC_RBF,WB_real
0.9212892566484956,0.017475645894849325,0.07192707429239843,0.0041892329592739,SVC_RBF,WC_real
0.9462628169921883,0.017274299404902445,0.06821712578788423,0.012190603467131097,SVC_RBF,WD_real
0.9391014148052997,0.01627497871714455,0.06579581789417845,0.003949999289796852,SVC_RBF,WE_real
0.8684099440341697,0.12787745330913808,0.4361000519266758,0.3158404036198441,SVC_RBF,WF_real
0.5722840390080706,0.10568017521127457,0.5477793474769068,0.0919427537431323,SVC_RBF,WG_real
0.9205312441844105,0.021082780363139653,0.16357957417113006,0.019885045311335284,MLP,WA_real
0.89918434227667,0.025127873187087514,0.21138972181741666,0.025083000255329488,MLP,WB_real
0.8873035181764126,0.021210718752369493,0.19638717899794114,0.019815116168308392,MLP,WC_real
0.9182254338146182,0.03027061326217056,0.16991834393443658,0.030154687135984903,MLP,WD_real
0.9185817450627062,0.022583502085559357,0.15913274298243127,0.021694350535195188,MLP,WE_real
0.8709926332082084,0.17727810650887593,6.3888959697050405,0.0033136091200722437,MLP,WF_real
0.5757740965042498,0.1125063425559951,2.1360527619116447,0.11168590575547942,MLP,WG_real
0.6036502612192653,0.7504753921809989,26.89752355943424,0.014965877285996307,GaussianNB,WA_real
0.6027152278803338,0.7505177814336287,26.92367752772337,0.013105011481480397,GaussianNB,WB_real
0.6038840195539982,0.7505003021527773,26.886282972382126,0.01545799534282652,GaussianNB,WC_real
0.6030658653824332,0.7504472521179176,26.915896215189736,0.013753834508583886,GaussianNB,WD_real
0.6035333820518989,0.7505315079792413,26.903019892819906,0.014771822205546965,GaussianNB,WE_real
0.5964037528425468,0.7517159211484664,27.087382414604974,0.0014200907501395839,GaussianNB,WF_real
0.5373670428221734,0.696037522358525,24.942129678785754,0.03177061101380696,GaussianNB,WG_real
