target,spearman_r,spearman_CI95,spearman_perm_p,kendall_tau,kendall_CI95,kendall_perm_p,n_models
ECE_drift_mean,-0.4642857142857144,"(-1.0, 0.6226415094339625)",0.30193490325483724,-0.33333333333333337,"(-1.0, 0.5294117647058824)",0.37623118844057796,7
ECE_drift_worst,-0.4642857142857144,"(-1.0, 0.6226415094339625)",0.30193490325483724,-0.33333333333333337,"(-1.0, 0.5294117647058824)",0.37623118844057796,7
AUROC_drop_mean,-0.1785714285714286,"(-0.9999999999999999, 0.8823529411764706)",0.7110144492775361,-0.14285714285714288,"(-0.9999999999999999, 0.7647058823529412)",0.7696615169241537,7
Brier_drift_worst,0.14285714285714288,"(-0.8695652173913043, 0.8667391304347815)",0.7833108344582771,0.04761904761904762,"(-0.7333333333333333, 0.7147619047618978)",1.0,7
AUROC_drop_worst,0.1785714285714286,"(-0.9607843137254901, 0.8666666666666666)",0.7190140492975351,0.04761904761904762,"(-0.8823529411764706, 0.7142857142857143)",1.0,7
Brier_drift_mean,0.21428571428571433,"(-0.7647058823529412, 0.9607843137254901)",0.656067196640168,0.14285714285714288,"(-0.6470588235294117, 0.8823529411764706)",0.768411579421029,7
LogLoss_drift_worst,0.42857142857142866,"(-0.411764705882353, 1.0)",0.3527323633818309,0.33333333333333337,"(-0.29411764705882354, 1.0)",0.38128093595320234,7
LogLoss_drift_mean,0.42857142857142866,"(-0.411764705882353, 1.0)",0.3527323633818309,0.33333333333333337,"(-0.29411764705882354, 1.0)",0.38128093595320234,7
