model,R_raw,S_raw,C_raw,R,S,C,E,RSCE_full
ExtraTrees,0.957099671830532,0.9311728205809645,0.9581426429980276,0.9955253844211245,0.22393133640855734,0.4464690143453587,0.999999879836716,0.6546833455437603
GaussianNB,0.6036502612192653,0.9875112872029653,0.9943150663361875,0.0,0.9999998622489088,0.9999998469743575,,0.49999992806954413
GradientBoosting,0.9586883207073573,0.9188942411668459,0.9324025958135778,0.9999999718340064,0.05479256503831375,0.0525802882094039,0.9999910871241376,0.5269529245993912
Logistic_L2,0.9230027279370714,0.9332998202815581,0.952061706662409,0.8994879540052174,0.25323098940014105,0.35341509529902215,,0.5064474974819337
MLP,0.9205312441844105,0.9244790506560671,0.979046812038177,0.8925267744443202,0.1317239252132195,0.7663564044170202,,0.549799168225098
RandomForest,0.9494264977554661,0.9250758292106571,0.9436295857988166,0.9739131272169057,0.13994461492813945,0.2243820239225533,0.0,0.4764250401497148
SVC_RBF,0.9406753119425545,0.9149165910061179,0.9289665515460531,0.9492645428396602,0.0,0.0,,0.3797058171358641
