model,global_spearman,local_cosine,global_spearman_norm,local_cosine_norm,E_raw,E
ExtraTrees,0.9928833988944614,0.8569472854742101,0.9999990948840496,0.0,0.4999995474420248,2.6011190519888073e-07
GradientBoosting,0.9818351006685627,0.8658333316615531,0.0,0.9999988746413719,0.49999943732068597,0.0
RandomForest,0.991647874222714,0.8654650311326465,0.8881697861351198,0.9585518568483529,0.9233608214917364,0.9999999763795184
