AUROC,Brier,LogLoss,ECE,model,world
0.999802142944113,0.009732679885015163,0.03963392057086587,0.022779533205815886,Logistic_L2,WA_real
0.9732791509395674,0.0475509201871841,0.3839732056187321,0.02953534908682673,Logistic_L2,WB_real
0.9344890214700273,0.06623687713011753,0.4175947401916528,0.05920058595093935,Logistic_L2,WC_real
0.999802142944113,0.03943154567022888,0.11780272120466898,0.06535980955694717,Logistic_L2,WD_real
0.999822435975486,0.009760179845354038,0.04002930771538493,0.026771853772576435,Logistic_L2,WE_real
0.9992390113235116,0.23122381865394803,2.1321036943390625,0.23538504682946018,Logistic_L2,WF_real
0.8593851939108372,0.10037813567173046,0.9475988089024577,0.0923399227841231,Logistic_L2,WG_real
1.0,0.0018277964774951075,0.030077345333813055,0.029103718199608622,RandomForest,WA_real
0.9626608222736313,0.05434430136986302,0.2016616152704153,0.027516634050880638,RandomForest,WB_real
0.9605300539794634,0.04942043835616439,0.19740558766758917,0.04654403131115458,RandomForest,WC_real
0.9780150371362475,0.0694391506849315,0.22668728583534506,0.07046379647749514,RandomForest,WD_real
1.0,0.001941146771037182,0.03224791470391127,0.031215264187866902,RandomForest,WE_real
0.8858491618978043,0.2114653542074364,0.7206612700114999,0.2132954990215264,RandomForest,WF_real
0.8592447444726351,0.09234051663405088,0.6385311843709708,0.06722113502935421,RandomForest,WG_real
0.9990639839279191,0.02798960469667319,0.12742104771912113,0.09409393346379646,ExtraTrees,WA_real
0.9772286821705426,0.05014548727984344,0.18932812893705986,0.05927201565557731,ExtraTrees,WB_real
0.9589953934818783,0.06267350293542075,0.22436995835666834,0.04589432485322895,ExtraTrees,WC_real
0.9952539672876335,0.0459877964774951,0.17629229591121282,0.10403131115459884,ExtraTrees,WD_real
0.9990436908965462,0.028347679060665362,0.1312383145781567,0.09551076320939335,ExtraTrees,WE_real
0.9249233938065669,0.1794586183953033,0.5454589339420332,0.1857866927592955,ExtraTrees,WF_real
0.8554276911924611,0.1040052602739726,0.44361115981767185,0.08617612524461837,ExtraTrees,WG_real
1.0,2.0757851489583872e-16,1.2532444979960036e-08,1.2532444851993975e-08,GradientBoosting,WA_real
0.9247432931531313,0.06262230692865493,1.124258984126181,0.062622296473101,GradientBoosting,WB_real
0.8934108527131783,0.0538160460623891,1.0006973498922607,0.05381604515220213,GradientBoosting,WC_real
0.9450261780104712,0.08219177675125741,1.4394992775894895,0.08219177812569982,GradientBoosting,WD_real
1.0,2.0757851489583872e-16,1.2532444979960036e-08,1.2532444851993975e-08,GradientBoosting,WE_real
0.5155038759689923,0.24461839119267692,4.548624273258881,0.2446183871607696,GradientBoosting,WF_real
0.8628805726712576,0.09589040861112369,1.758735899872263,0.09589039842645927,GradientBoosting,WG_real
0.9984551929867284,0.013998467879378118,0.04610713174533419,0.01046513083679754,SVC_RBF,WA_real
0.9736393522464385,0.05749709037316973,0.305271419365725,0.03741428034860132,SVC_RBF,WB_real
0.9276299768659443,0.06864844794279963,0.5618244643143064,0.062154883476078206,SVC_RBF,WC_real
0.9961950566175576,0.04908218649321493,0.18049895641966854,0.06599591194001969,SVC_RBF,WD_real
0.9983968505215309,0.014515653532939585,0.04765263704180002,0.013773197878416368,SVC_RBF,WE_real
0.8280622184341896,0.22070068565907655,2.0220559562647016,0.22740478866756217,SVC_RBF,WF_real
0.850740757520841,0.10446142928709698,1.25621536873731,0.09238710904985632,SVC_RBF,WG_real
0.9997209708186209,0.005901324511759798,0.018531023312010206,0.004953169425974866,MLP,WA_real
0.9722898656601322,0.058817847506114525,0.6885847106139599,0.05548523357058635,MLP,WB_real
0.9295020090101059,0.07330743383652989,1.2981500144572544,0.07089658255135327,MLP,WC_real
0.9997463371078371,0.04375429425734951,0.24199952682428394,0.050835445952305214,MLP,WD_real
0.9997006777872479,0.006012862763366276,0.02050668760079512,0.007122686619342264,MLP,WE_real
0.9944853687243801,0.2310603870018069,5.885614569803883,0.2320230767183592,MLP,WF_real
0.8598835628851034,0.1006705351224576,2.4116272910193826,0.09574801803863278,MLP,WG_real
0.9777131782945736,0.05615777389596936,0.2315475353576635,0.03502832576025263,GaussianNB,WA_real
0.9495058646860669,0.08535081391829343,0.7041968349702307,0.06248450220736894,GaussianNB,WB_real
0.936898818945574,0.07992436320412079,0.344127095195921,0.05602802957329264,GaussianNB,WC_real
0.9821218393603637,0.06770552774737998,0.2946847257662492,0.07829961337764305,GaussianNB,WD_real
0.976810138398474,0.05989742165012072,0.24968427380222882,0.039391699463296445,GaussianNB,WE_real
0.8377978002353991,0.19372010520092375,1.0368886421378596,0.19606069703967202,GaussianNB,WF_real
0.8491459768031896,0.1335148055659228,0.8297360114766131,0.10908082831934447,GaussianNB,WG_real
