model,world,global_spearman,local_cosine
RandomForest,WB_real,0.9930184897971818,0.9039880934862974
RandomForest,WC_real,0.9930184897971818,0.8863914180402134
RandomForest,WD_real,0.9897302571219907,0.8322109301610936
RandomForest,WE_real,0.9980827545018407,0.9989922949728884
RandomForest,WF_real,0.9760372541180894,0.5712075084745917
RandomForest,WG_real,1.0,0.9999999416607946
ExtraTrees,WB_real,0.9982204063414738,0.8933253367158198
ExtraTrees,WC_real,0.9965786325706063,0.8879155829758895
ExtraTrees,WD_real,0.9972625239529155,0.861330789824243
ExtraTrees,WE_real,0.9987683137187977,0.996423080418134
ExtraTrees,WF_real,0.9664705167829747,0.5026889992282711
ExtraTrees,WG_real,1.0,0.9999999236829029
GradientBoosting,WB_real,0.9865168539325843,0.9149999982812079
GradientBoosting,WC_real,0.9775280898876403,0.8849999982853611
GradientBoosting,WD_real,0.9955056179775281,0.8599999984142616
GradientBoosting,WE_real,0.9988757725507029,0.9999999981584744
GradientBoosting,WF_real,0.9325842696629212,0.5349999986715385
GradientBoosting,WG_real,1.0,0.9999999981584744
